name,time,not_ideal_gas_conditions
Not_Gas_Conditions,1709964479640987340,1
Not_Gas_Conditions,1710005339782172321,1
Not_Gas_Conditions,1710005363698491962,1
Not_Gas_Conditions,1710005398708108496,1
Not_Gas_Conditions,1710005468746379017,1
Not_Gas_Conditions,1710005493797871060,1
Not_Gas_Conditions,1710005574137708821,1
Not_Gas_Conditions,1710005619235641427,1
Not_Gas_Conditions,1710005654235523677,1
Not_Gas_Conditions,1710005709328489500,1
Not_Gas_Conditions,1710005794347548084,1
Not_Gas_Conditions,1710005859504494715,1
Not_Gas_Conditions,1710005864400267945,1
Not_Gas_Conditions,1710005894440614806,1
Not_Gas_Conditions,1710005924464624794,1
Not_Gas_Conditions,1710005944474702773,1
Not_Gas_Conditions,1710005974458773383,1
Not_Gas_Conditions,1710005994498624429,1
Not_Gas_Conditions,1710006049551240994,1
Not_Gas_Conditions,1710006074561050673,1
Not_Gas_Conditions,1710006079559967126,1
Not_Gas_Conditions,1710006094552176486,1
Not_Gas_Conditions,1710006104606303500,1
Not_Gas_Conditions,1710006139646668044,1
Not_Gas_Conditions,1710006204694668333,1
Not_Gas_Conditions,1710006249697813635,1
Not_Gas_Conditions,1710006259697211702,1
Not_Gas_Conditions,1710006264675911129,1
Not_Gas_Conditions,1710006339788439941,1
Not_Gas_Conditions,1710006509806436508,1
Not_Gas_Conditions,1710006539816316538,1
Not_Gas_Conditions,1710006559779953503,1
Not_Gas_Conditions,1710006709843830010,1
Not_Gas_Conditions,1710006719857720928,1
Not_Gas_Conditions,1710006739862994258,1
Not_Gas_Conditions,1710006769886828755,1
Not_Gas_Conditions,1710006829882837827,1
Not_Gas_Conditions,1710006859906810243,1
Not_Gas_Conditions,1710006874899338835,1
Not_Gas_Conditions,1710006934926422329,1
Not_Gas_Conditions,1710007000015808460,1
Not_Gas_Conditions,1710007014949361116,1
Not_Gas_Conditions,1710007049972772167,1
Not_Gas_Conditions,1710007110035488825,1
Not_Gas_Conditions,1710007245109421018,1
Not_Gas_Conditions,1710007295121718719,1
Not_Gas_Conditions,1710007355168738528,1
Not_Gas_Conditions,1710007370169846455,1
Not_Gas_Conditions,1710007540236818848,1
Not_Gas_Conditions,1710007585325483966,1
Not_Gas_Conditions,1710007590249585812,1
Not_Gas_Conditions,1710007615255631575,1
Not_Gas_Conditions,1710007625275597733,1
Not_Gas_Conditions,1710007660278389636,1
Not_Gas_Conditions,1710007675258931800,1
Not_Gas_Conditions,1710007790317585913,1
Not_Gas_Conditions,1710007805322768661,1
Not_Gas_Conditions,1710007959064935687,1
Not_Gas_Conditions,1710008024133339351,1
Not_Gas_Conditions,1710008084252502341,1
Not_Gas_Conditions,1710008194280787636,1
Not_Gas_Conditions,1710008254296745242,1
Not_Gas_Conditions,1710008314298585503,1
Not_Gas_Conditions,1710008374404715392,1
Not_Gas_Conditions,1710008439351821120,1
Not_Gas_Conditions,1710008494438253539,1
Not_Gas_Conditions,1710008574426414254,1
Not_Gas_Conditions,1710008654532394195,1
Not_Gas_Conditions,1710008744622013375,1
Not_Gas_Conditions,1710008819587034013,1
Not_Gas_Conditions,1710008899652664909,1
Not_Gas_Conditions,1710008994744653047,1
Not_Gas_Conditions,1710009044813007061,1
Not_Gas_Conditions,1710009104865228699,1
Not_Gas_Conditions,1710009245161838073,1
Not_Gas_Conditions,1710009320099414805,1
Not_Gas_Conditions,1710009460136831767,1
Not_Gas_Conditions,1710009520177753199,1
Not_Gas_Conditions,1710009595350076282,1
Not_Gas_Conditions,1710009710321147216,1
Not_Gas_Conditions,1710009810380118622,1
Not_Gas_Conditions,1710009885501162680,1
Not_Gas_Conditions,1710009935560649014,1
Not_Gas_Conditions,1710010000505714654,1
Not_Gas_Conditions,1710010050583966243,1
Not_Gas_Conditions,1710010130671945645,1
Not_Gas_Conditions,1710010210774163808,1
Not_Gas_Conditions,1710010280849065740,1
Not_Gas_Conditions,1710010415836223956,1
Not_Gas_Conditions,1710010485908810580,1
Not_Gas_Conditions,1710010590907087099,1
Not_Gas_Conditions,1710010695958178276,1
Not_Gas_Conditions,1710010761024347986,1
Not_Gas_Conditions,1710010876019054283,1
Not_Gas_Conditions,1710011096034340299,1
Not_Gas_Conditions,1710011151041742949,1
Not_Gas_Conditions,1710011236062685789,1
Not_Gas_Conditions,1710011306049497996,1
Not_Gas_Conditions,1710011431095331724,1
Not_Gas_Conditions,1710011481141253900,1
Not_Gas_Conditions,1710011551106830638,1
Not_Gas_Conditions,1710011626357410682,1
Not_Gas_Conditions,1710011766474390430,1
Not_Gas_Conditions,1710011851403608627,1
Not_Gas_Conditions,1710011926425414007,1
Not_Gas_Conditions,1710011981435615363,1
Not_Gas_Conditions,1710012041429365416,1
Not_Gas_Conditions,1710012096466538755,1
Not_Gas_Conditions,1710012151443995391,1
Not_Gas_Conditions,1710012241488975419,1
Not_Gas_Conditions,1710012356483566582,1
Not_Gas_Conditions,1710012461494370739,1
Not_Gas_Conditions,1710012577519708962,1
Not_Gas_Conditions,1710012662638192531,1
Not_Gas_Conditions,1710012722637901920,1
Not_Gas_Conditions,1710012842697217557,1
Not_Gas_Conditions,1710012932740426345,1
Not_Gas_Conditions,1710013042816744320,1
Not_Gas_Conditions,1710013132879087468,1
Not_Gas_Conditions,1710013217883283601,1
Not_Gas_Conditions,1710013272848257908,1
Not_Gas_Conditions,1710013327922473950,1
Not_Gas_Conditions,1710013377915604724,1
Not_Gas_Conditions,1710013488050090671,1
Not_Gas_Conditions,1710013693150319524,1
Not_Gas_Conditions,1710013778267411867,1
Not_Gas_Conditions,1710013863280608792,1
Not_Gas_Conditions,1710013963348380683,1
Not_Gas_Conditions,1710014063377809333,1
Not_Gas_Conditions,1710014128370178515,1
Not_Gas_Conditions,1710014193470653403,1
Not_Gas_Conditions,1710014358551544311,1
Not_Gas_Conditions,1710014528574481200,1
Not_Gas_Conditions,1710014588621899086,1
Not_Gas_Conditions,1710014698617283871,1
Not_Gas_Conditions,1710014763728893328,1
Not_Gas_Conditions,1710014848707534549,1
Not_Gas_Conditions,1710014898742263503,1
Not_Gas_Conditions,1710014953818055686,1
Not_Gas_Conditions,1710015023851288084,1
Not_Gas_Conditions,1710015098858571406,1
Not_Gas_Conditions,1710015218964097526,1
Not_Gas_Conditions,1710015298991156760,1
Not_Gas_Conditions,1710015349059703985,1
Not_Gas_Conditions,1710015399123095967,1
Not_Gas_Conditions,1710015514197176122,1
Not_Gas_Conditions,1710015624265204324,1
Not_Gas_Conditions,1710015979496004106,1
Not_Gas_Conditions,1710016049549524372,1
Not_Gas_Conditions,1710016109573346361,1
Not_Gas_Conditions,1710056210713621616,1
Not_Gas_Conditions,1710056325728688880,1
Not_Gas_Conditions,1710056395737300873,1
Not_Gas_Conditions,1710056480888067034,1
Not_Gas_Conditions,1710056705992712411,1
Not_Gas_Conditions,1710056775990291275,1
Not_Gas_Conditions,1710056866121887674,1
Not_Gas_Conditions,1710056921111480430,1
Not_Gas_Conditions,1710057011105600211,1
Not_Gas_Conditions,1710057066165383551,1
Not_Gas_Conditions,1710057131136668070,1
Not_Gas_Conditions,1710057186184963769,1
Not_Gas_Conditions,1710057236209549038,1
Not_Gas_Conditions,1710057301244094932,1
Not_Gas_Conditions,1710057366264584552,1
Not_Gas_Conditions,1710057441256874785,1
Not_Gas_Conditions,1710057511304313172,1
Not_Gas_Conditions,1710057571326903418,1
Not_Gas_Conditions,1710057691353308159,1
Not_Gas_Conditions,1710057901480982050,1
Not_Gas_Conditions,1710057991583455105,1
Not_Gas_Conditions,1710058061551512754,1
Not_Gas_Conditions,1710058186620237486,1
Not_Gas_Conditions,1710058246655038532,1
Not_Gas_Conditions,1710058377487950712,1
Not_Gas_Conditions,1710058427445521236,1
Not_Gas_Conditions,1710058532658178956,1
Not_Gas_Conditions,1710058662641707391,1
Not_Gas_Conditions,1710058732663708260,1
Not_Gas_Conditions,1710058797725800536,1
Not_Gas_Conditions,1710058867783824523,1
Not_Gas_Conditions,1710058947852467379,1
Not_Gas_Conditions,1710059022945182343,1
Not_Gas_Conditions,1710059117995983994,1
Not_Gas_Conditions,1710059192999818274,1
Not_Gas_Conditions,1710059248004346224,1
Not_Gas_Conditions,1710059298033636578,1
Not_Gas_Conditions,1710059348083394973,1
Not_Gas_Conditions,1710059423093332370,1
Not_Gas_Conditions,1710059518071717670,1
Not_Gas_Conditions,1710059608137660493,1
Not_Gas_Conditions,1710059658138385524,1
Not_Gas_Conditions,1710059733156641851,1
Not_Gas_Conditions,1710059813153085746,1
Not_Gas_Conditions,1710059983146141991,1
Not_Gas_Conditions,1710060063170344941,1
Not_Gas_Conditions,1710060153221182354,1
Not_Gas_Conditions,1710060243228895321,1
Not_Gas_Conditions,1710060358209383180,1
Not_Gas_Conditions,1710060428232043326,1
Not_Gas_Conditions,1710060523282305204,1
Not_Gas_Conditions,1710060588322483542,1
Not_Gas_Conditions,1710060673340623909,1
Not_Gas_Conditions,1710060803359388890,1
Not_Gas_Conditions,1710060863369683088,1
Not_Gas_Conditions,1710060968369749291,1
Not_Gas_Conditions,1710061188412171125,1
Not_Gas_Conditions,1710061243399066815,1
Not_Gas_Conditions,1710061383472600535,1
Not_Gas_Conditions,1710061463485455543,1
Not_Gas_Conditions,1710061518462443740,1
Not_Gas_Conditions,1710061703552653228,1
Not_Gas_Conditions,1710061758510219315,1
Not_Gas_Conditions,1710061893586208436,1
Not_Gas_Conditions,1710061948606020020,1
Not_Gas_Conditions,1710061998614547326,1
Not_Gas_Conditions,1710062088612933283,1
Not_Gas_Conditions,1710062218625923131,1
Not_Gas_Conditions,1710062268640148527,1
Not_Gas_Conditions,1710062353620609404,1
Not_Gas_Conditions,1710062423633774068,1
Not_Gas_Conditions,1710062478673395115,1
Not_Gas_Conditions,1710062533677358338,1
Not_Gas_Conditions,1710062588667869290,1
Not_Gas_Conditions,1710062938692681291,1
Not_Gas_Conditions,1710062993750011110,1
Not_Gas_Conditions,1710063063762832964,1
Not_Gas_Conditions,1710063143734293372,1
Not_Gas_Conditions,1710063208741495562,1
Not_Gas_Conditions,1710063314826242437,1
Not_Gas_Conditions,1710063404959223013,1
Not_Gas_Conditions,1710063455045752043,1
Not_Gas_Conditions,1710063505076937525,1
Not_Gas_Conditions,1710063580106633785,1
Not_Gas_Conditions,1710063655196872370,1
Not_Gas_Conditions,1710063740365392757,1
Not_Gas_Conditions,1710063805519510081,1
Not_Gas_Conditions,1710063986121024394,1
Not_Gas_Conditions,1710064040862853280,1
Not_Gas_Conditions,1710064106115609780,1
Not_Gas_Conditions,1710064186507097114,1
Not_Gas_Conditions,1710064246616857132,1
Not_Gas_Conditions,1710064306741802228,1
Not_Gas_Conditions,1710064467093753318,1
Not_Gas_Conditions,1710064577406613282,1
Not_Gas_Conditions,1710064672213992160,1
Not_Gas_Conditions,1710064777944368800,1
Not_Gas_Conditions,1710064942949192414,1
Not_Gas_Conditions,1710064993003729665,1
Not_Gas_Conditions,1710065048470390948,1
Not_Gas_Conditions,1710065123304217210,1
Not_Gas_Conditions,1710065193340617471,1
Not_Gas_Conditions,1710065248861487800,1
Not_Gas_Conditions,1710065313584023148,1
Not_Gas_Conditions,1710065393728817534,1
